"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TECHM","EQ","11-Jul-2019","        674.85","        676.70","        676.70","        658.40","        665.35","        665.70","        664.40","    3449721","          2291986119.20","     112558","    2014086","         58.38"
"TECHM","EQ","12-Jul-2019","        665.70","        665.00","        672.90","        663.00","        667.40","        665.80","        667.56","    1792810","          1196816107.50","      62824","     831372","         46.37"
"TECHM","EQ","15-Jul-2019","        665.80","        675.00","        680.70","        665.85","        679.55","        677.90","        672.65","    1883164","          1266705631.40","      64529","     724599","         38.48"
"TECHM","EQ","16-Jul-2019","        677.90","        680.00","        681.60","        670.50","        676.50","        675.95","        675.83","    2015642","          1362240918.75","      59251","     983688","         48.80"
"TECHM","EQ","17-Jul-2019","        675.95","        675.95","        695.50","        673.05","        690.30","        690.80","        688.64","    3271680","          2253018005.45","      59693","    1490547","         45.56"
"TECHM","EQ","18-Jul-2019","        690.80","        687.35","        694.25","        680.10","        687.00","        687.20","        686.96","    2984256","          2050077812.65","     114958","    1803369","         60.43"
"TECHM","EQ","19-Jul-2019","        687.20","        687.20","        691.50","        664.40","        675.00","        675.05","        674.79","    2005513","          1353302283.90","      65173","     892212","         44.49"
"TECHM","EQ","22-Jul-2019","        675.05","        671.00","        679.00","        670.00","        671.90","        671.95","        673.89","    1286218","           866763843.10","      50991","     671392","         52.20"
"TECHM","EQ","23-Jul-2019","        671.95","        673.25","        675.55","        665.75","        670.00","        671.20","        670.56","    1462269","           980538456.75","      51633","     735824","         50.32"
"TECHM","EQ","24-Jul-2019","        671.20","        670.35","        679.80","        651.45","        662.75","        660.45","        665.00","    3060459","          2035218113.15","      84614","    1854519","         60.60"
"TECHM","EQ","25-Jul-2019","        660.45","        647.80","        657.65","        641.50","        654.40","        652.50","        651.57","    2751865","          1793046235.65","      77942","    1517040","         55.13"
"TECHM","EQ","26-Jul-2019","        652.50","        649.70","        651.00","        641.05","        644.75","        643.50","        644.77","    1637706","          1055942726.25","      71662","     949989","         58.01"
"TECHM","EQ","29-Jul-2019","        643.50","        641.00","        654.65","        641.00","        644.00","        646.30","        647.45","    2524484","          1634480344.15","      87200","    1157415","         45.85"
"TECHM","EQ","30-Jul-2019","        646.30","        645.00","        650.30","        633.15","        640.90","        640.25","        641.01","    2882913","          1847979998.65","      69347","    1709570","         59.30"
"TECHM","EQ","31-Jul-2019","        640.25","        629.00","        639.80","        607.15","        635.20","        636.25","        622.80","    9651731","          6011112620.80","     199316","    4558232","         47.23"
"TECHM","EQ","01-Aug-2019","        636.25","        632.05","        633.45","        619.00","        625.30","        625.65","        624.64","    3982949","          2487899211.15","     136151","    2489585","         62.51"
"TECHM","EQ","02-Aug-2019","        625.65","        625.00","        639.10","        618.40","        636.80","        636.15","        628.76","    2172845","          1366194089.50","     106712","    1169645","         53.83"
"TECHM","EQ","05-Aug-2019","        636.15","        631.15","        651.05","        625.30","        649.85","        648.05","        640.94","    3140140","          2012626836.40","     105725","    1720951","         54.80"
"TECHM","EQ","06-Aug-2019","        648.05","        650.10","        679.85","        650.10","        672.00","        670.60","        666.71","    7226321","          4817842777.50","     227458","    3916518","         54.20"
"TECHM","EQ","07-Aug-2019","        670.60","        671.80","        678.50","        670.30","        673.85","        674.45","        675.31","    3239880","          2187918307.65","     141330","    2261509","         69.80"
"TECHM","EQ","08-Aug-2019","        674.45","        674.00","        683.90","        665.00","        680.00","        680.20","        674.29","    2708834","          1826531900.25","     143165","    1389475","         51.29"
"TECHM","EQ","09-Aug-2019","        680.20","        679.00","        680.75","        659.75","        663.00","        663.35","        674.41","    3743407","          2524591106.05","     124738","    2218854","         59.27"
