"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"TATAMOTORS","EQ","01-Dec-2020","        180.35","        182.35","        182.40","        178.10","        179.85","        179.75","        179.94","   48881250","          8795551167.40","     199976"
"TATAMOTORS","EQ","02-Dec-2020","        179.75","        184.00","        187.35","        181.10","        183.30","        183.60","        184.35","   88107889","         16242924919.00","     311386"
"TATAMOTORS","EQ","03-Dec-2020","        183.60","        185.00","        186.00","        183.25","        185.00","        184.85","        184.78","   33332481","          6159303793.85","     140459"
"TATAMOTORS","EQ","04-Dec-2020","        184.85","        186.50","        188.80","        182.20","        184.25","        184.15","        185.44","   47995639","          8900542774.70","     190324"
"TATAMOTORS","EQ","07-Dec-2020","        184.15","        184.45","        186.45","        182.70","        183.90","        183.55","        184.40","   29802472","          5495510398.50","     118659"
"TATAMOTORS","EQ","08-Dec-2020","        183.55","        184.95","        185.70","        178.95","        181.75","        181.80","        182.23","   42143391","          7679876271.05","     178817"
"TATAMOTORS","EQ","09-Dec-2020","        181.80","        183.00","        186.40","        181.65","        182.85","        182.70","        183.87","   40300535","          7410171899.10","     179777"
"TATAMOTORS","EQ","10-Dec-2020","        182.70","        182.70","        182.70","        176.40","        177.95","        177.60","        178.33","   38368777","          6842370815.25","     160033"
"TATAMOTORS","EQ","11-Dec-2020","        177.60","        177.95","        181.45","        176.50","        178.20","        178.85","        179.30","   43065542","          7721727569.50","     177254"
"TATAMOTORS","EQ","14-Dec-2020","        178.85","        181.00","        181.50","        176.70","        177.90","        177.65","        178.12","   33186273","          5911041528.75","     132474"
"TATAMOTORS","EQ","15-Dec-2020","        177.65","        176.45","        179.70","        173.25","        178.90","        178.90","        175.70","   41190341","          7237031319.90","     173128"
"TATAMOTORS","EQ","16-Dec-2020","        178.90","        181.00","        183.80","        180.10","        182.25","        182.55","        182.28","   51259394","          9343791573.45","     176362"
"TATAMOTORS","EQ","17-Dec-2020","        182.55","        184.00","        184.00","        180.65","        181.30","        181.70","        182.75","   34101954","          6232261080.20","     119653"
"TATAMOTORS","EQ","18-Dec-2020","        181.70","        180.90","        181.50","        176.65","        180.40","        180.55","        179.59","   46065197","          8272922292.35","     142599"
"TATAMOTORS","EQ","21-Dec-2020","        180.55","        176.00","        177.55","        162.50","        163.50","        164.55","        170.86","   75582907","         12914314394.40","     332579"
"TATAMOTORS","EQ","22-Dec-2020","        164.55","        164.55","        169.20","        156.70","        165.05","        164.95","        161.45","  110009846","         17761321437.50","     407075"
"TATAMOTORS","EQ","23-Dec-2020","        164.95","        165.00","        169.70","        163.40","        169.50","        169.20","        166.94","   56930071","          9503742280.20","     197114"
"TATAMOTORS","EQ","24-Dec-2020","        169.20","        172.00","        178.00","        172.00","        175.80","        175.95","        175.59","   73831319","         12963747737.15","     254698"
"TATAMOTORS","EQ","28-Dec-2020","        175.95","        179.85","        187.40","        179.00","        186.00","        186.35","        184.40","   98012135","         18073634113.15","     356065"
